Id,Attributes,
APP\PERSONAL-NEW\000769, black,  Application
APP\PREMISES-VARYDPS\003383, black,  Application
Cantelowes Gardens & Busby Place, blue,  Premise
APP\TEN\005352, black,  Application
APP\PREMISES-VARY\000203, black,  Application
2016/1750/TC, black,  Application
APP\TEN\005540, black,  Application
APP\PREMISES-NEW\000706, black,  Application
2016/3727/TC, black,  Application
APP\PERSONAL-CONV\000221, black,  Application
APP\TEN\006331, black,  Application
APP\TEN\002892, black,  Application
APP\TEN\007645, black,  Application
APP\PREMISES-NEW\000856, black,  Application
43466, black,  Application
APP\TEN\010871, black,  Application
APP\TEN\009045, black,  Application
APP\TEN\001397, black,  Application
APP\TEN\004976, black,  Application
APP\TEN\009458, black,  Application
APP\TEN\001109, black,  Application
2011/2285/TC, black,  Application
APP\TEN\008280, black,  Application
APP\PREMISES-VARY\000094, black,  Application
APP\PREMISES-CONV\000847, black,  Application
APP\TEN\010889, black,  Application
Orchard, blue,  Premise
APP\PREMISES-VARYDPS\002099, black,  Application
APP\TEN\004229, black,  Application
APP\PREMISES-NEW\001345, black,  Application
APP\PERSONAL-ADD\000108, black,  Application
APP\TEN\006144, black,  Application
APP\LATE-TEN\000183, black,  Application
Right to Play, blue,  Premise
APP\TEN\010361, black,  Application
APP\TEN\005467, black,  Application
APP\LATE-TEN\001921, black,  Application
APP\TEN\002318, black,  Application
APP\PERSONAL-NEW\001949, black,  Application
APP\TEN\000689, black,  Application
APP\LATE-TEN\000571, black,  Application
GGN\00189, black,  Application
APP\PREMISES-VARYDPS\001053, black,  Application
APP\PREMISES-C-PREM\0006, black,  Application
APP\TEN\008808, black,  Application
APP\PREMISES-CONV\001055, black,  Application
APP\PREMISES-VARYDPS\004246, black,  Application
APP\PREMISES-VARY\000046, black,  Application
APP\TEN\000979, black,  Application
APP\PREMISES-VARYDPS\003501, black,  Application
APP\PERSONAL-CONV\000815, black,  Application
APP\TEN\008991, black,  Application
APP\PREMISES-CONV\000725, black,  Application
APP\PREMISES-VARY\000320, black,  Application
