Application Reference,Application Type,Premises Name,Premises Address,Application Legislation,Application Status,Application Objections,Approved Date,Date Of Events,Expiry Date,Hearing Date,Last Date For Representations,Received Date,Refused Date,Cumulative Impact Policy Area Name,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI
APP\TEN\008204,Temporary Event Notice,Co-Operative Group Food Limited,"250 254 KENTISH TOWN ROAD, LONDON, NW5 2AB",LA2003,Application Approved,No,18/07/2012,,,,11/07/2012,06/07/2012,,,E05000139,Kentish Town,529016.07,185010.54,-0.140701,51.549255,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.549255, -0.140701)",13374,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-VARYDPS\002282,Premises - Variation of DPS,Mansfield News,"5 MANSFIELD ROAD, LONDON, NW3 2JD",LA2003,Application Approved In Full,No,09/01/2012,,,,26/12/2011,12/12/2011,,,E05000134,Gospel Oak,528258,185604.33,-0.151411,51.554764,Nearest OS Open Map-Local Building,11/05/2017 07:37:27 PM,"(51.554764, -0.151411)",24175,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\006685,Temporary Event Notice,Nisa (formerly Leighton Arms),"101 BRECKNOCK ROAD, LONDON, N7 0DA",LA2003,Application Rejected,No,,,,,03/08/2011,01/08/2011,02/08/2011,,E05000139,Kentish Town,529549.72,185368.07,-0.132877,51.552346,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.552346, -0.132877)",14803,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\001874,Temporary Event Notice,Pizza East/Chicken Shop (formerly Grand Union - Highgate),"53  79 HIGHGATE STUDIOS HIGHGATE ROAD, LONDON, NW5 1TL",LA2003,Application Approved,No,29/11/2007,,,,29/11/2007,27/11/2007,,,E05000139,Kentish Town,528765.7,185557.75,-0.144109,51.55423,Nearest OS Open Map-Local Building,11/05/2017 07:37:25 PM,"(51.55423, -0.144109)",19356,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-TRANS\000429,Premises Licence - Transfer Application,The Wine Cellar,"193 KENTISH TOWN ROAD, LONDON, NW5 2JU",LA2003,Application Approved In Full,No,06/01/2009,,,,26/12/2008,12/12/2008,,,E05000139,Kentish Town,528915.05,184769.23,-0.142245,51.547109,Nearest OS Open Map-Local Building,11/05/2017 07:37:29 PM,"(51.547109, -0.142245)",27812,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\010140,Temporary Event Notice,Mamma Mia Cafe,"296 KENTISH TOWN ROAD, LONDON, NW5 2TG",LA2003,Application Approved,No,10/03/2014,,,,11/03/2014,06/03/2014,,,E05000139,Kentish Town,529038.33,185212.57,-0.140306,51.551065,Nearest OS Open Map-Local Building,11/05/2017 07:37:22 PM,"(51.551065, -0.140306)",11598,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\006688,Temporary Event Notice,Fiddlers Elbow,"1 MALDEN ROAD, LONDON, NW5 3HS",LA2003,Application Approved,No,04/08/2011,,,,03/08/2011,01/08/2011,,,E05000136,Haverstock,528302.9,184639.18,-0.151116,51.54608,Nearest OS Open Map-Local Building,11/05/2017 07:37:23 PM,"(51.54608, -0.151116)",14800,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\012861,Temporary Event Notice,Ferdinand Estate (Football Pitch),"FERDINAND ESTATE 1 FERDINAND STREET,",LA2003,Application Approved,No,18/08/2016,,,,17/08/2016,12/08/2016,,,E05000136,Haverstock,528366.98,184459.58,-0.150257,51.544451,Nearest OS Open Map-Local Building,11/05/2017 07:37:20 PM,"(51.544451, -0.150257)",9141,http://opendatacommunities.org/id/london-borough-council/camden
APP\PREMISES-NEW\000678,Premises - New Licence,Muya Restaurant,"13 BRECKNOCK ROAD, LONDON, N7 0BL",LA2003,Application Partially Approved,Yes,02/09/2008,,,02/09/2008,17/07/2008,19/06/2008,,,E05000139,Kentish Town,529743.41,184998.68,-0.130221,51.548982,Nearest OS Open Map-Local Building,11/05/2017 07:37:30 PM,"(51.548982, -0.130221)",29389,http://opendatacommunities.org/id/london-borough-council/camden
APP\TEN\011888,Temporary Event Notice,Unicorn,"227 CAMDEN ROAD, LONDON, NW1 9AA",LA2003,Application Approved,No,07/10/2015,,,,30/09/2015,25/09/2015,,,E05000139,Kentish Town,529772.57,184964.12,-0.129813,51.548664,Nearest OS Open Map-Local Building,11/05/2017 07:37:21 PM,"(51.548664, -0.129813)",10028,http://opendatacommunities.org/id/london-borough-council/camden
